new_phibase_acc	old_phibase_acc	uniprot_acc	gene_name_phibase	gene_locus_id	gene_locus_id_type	pathogen_species_taxon_id	pathogen_taxon_id	pathogen_taxon_name_ncbi	host_species_taxon_id	host_species_name_ncbi	phi_disease_phenotype_id	phi_disease_phenotype_name	experiment_specification_ids	experiment_specification_names	pubmed_id	doi
PHI:I4070	PHI:3386	W7NCN7	FVEG_12528 	EWG54272	Genbank	117187	117187	Fusarium verticillioides	381124	Zea mays subsp. mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4071	PHI:3387	W7MT31	FVEG_12523 	EWG54266	Genbank	117187	117187	Fusarium verticillioides	381124	Zea mays subsp. mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4072	PHI:3388	W7N2B2	FVEG_12522	EWG54264	Genbank	117187	117187	Fusarium verticillioides	381124	Zea mays subsp. mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4073	PHI:3389	W7MS01	FVEG_12521 	EWG54263	Genbank	117187	117187	Fusarium verticillioides	381124	Zea mays subsp. mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4074	PHI:3390	W7MT28	FVEG_12520 	EWG54261	Genbank	117187	117187	Fusarium verticillioides	381124	Zea mays subsp. mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4075	PHI:3391	W7N293	FVEG_12519	EWG54260	Genbank	117187	117187	Fusarium verticillioides	381124	Zea mays subsp. mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4076	PHI:3392	J9NJ73	FOXG 15248	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4077	PHI:3394	J9NJ72	FOXG 15247	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4078	PHI:3395	J9NJ69	FOXG 15244	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4079	PHI:3396	J9NJ68	FOXG 15243	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4080	PHI:3397	J9NJ66	FOXG 15241	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4081	PHI:3398	J9NJ65	FOXG 15240	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4082	PHI:3399	J9NJ64	FOXG 15239 	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4083	PHI:3400	J9NJ63	FOXG 15238	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4084	PHI:3401	J9NJ62	FOXG 15237	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4085	PHI:3402	J9NJ61	FOXG 15236	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4086	PHI:3403	J9NJ60	FOXG 15235 	no data found	Genbank	5507	5507	Fusarium oxysporum	336126	Hylocereus trigonus	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	25372119	10.1094/MPMI-09-14-0264-R
PHI:I4087	PHI:3404	Q9F286	yapG	AE013962_2	Genbank	632	214092	Yersinia pestis CO92	10090	Mus musculus	PHIPO:0000011	unaltered pathogenicity	ESO:0000019	uncharacterised gene mutation	23657527	10.1099/jmm.0.056275-0
PHI:I4088	PHI:3407	W8DUB8	TssA	no data found	Genbank	553	1378093	Pantoea ananatis LMG 2665	4679	Allium cepa	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	25411959	10.1094/MPMI-07-14-0219-R
PHI:I4089	PHI:3408	W8DVN3	TssD	no data found	Genbank	553	1378093	Pantoea ananatis LMG 2665	4679	Allium cepa	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	25411959	10.1094/MPMI-07-14-0219-R
PHI:I4090	PHI:3409	Q9I0P4	qteE	AE004688_3	Genbank	287	208964	Pseudomonas aeruginosa PAO1	10090	Mus musculus	PHIPO:0000011	unaltered pathogenicity	ESO:0000019	uncharacterised gene mutation	25420086	10.1371/journal.pone.0112105
PHI:I4091	PHI:3410	Q9X7H4	rsaL	AAD22496	Genbank	287	208964	Pseudomonas aeruginosa PAO1	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000019	uncharacterised gene mutation	25420086	10.1371/journal.pone.0112105
PHI:I4092	PHI:3411	O68539	bscN	AAC38612	Genbank	518	1427985	Bordetella bronchiseptica KM22	9823	Sus scrofa	PHIPO:0000008	reduced virulence	ESO:0000019	uncharacterised gene mutation	24366249	10.1128/IAI.01115-13
PHI:I4093	PHI:3412	Q8PM59	pstB	AAM36442	Genbank	346	1203463	Xanthomonas citri subsp. citri 306	2711	Citrus sinensis	PHIPO:0000007	loss of pathogenicity	ESO:0000019	uncharacterised gene mutation	25403594	10.1007/s10142-014-0414-z
PHI:I4094	PHI:3412	Q8PM59	pstB	AAM36442	Genbank	346	1203463	Xanthomonas citri subsp. citri 306	171249	Citrus limonia	PHIPO:0000007	loss of pathogenicity	ESO:0000019	uncharacterised gene mutation	25403594	10.1007/s10142-014-0414-z
PHI:I4095	PHI:3413	A4SUE7	Ati2	ABO92519	Genbank	645	382245	Aeromonas salmonicida subsp. salmonicida A449	44689	Dictyostelium discoideum	PHIEO:0000003	plant avirulence determinant effector	ESO:0000019	uncharacterised gene mutation	23832001	10.1099/mic.0.067959-0
PHI:I4096	PHI:3415	T2BNJ5	Fre2	AGV14291	Genbank	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	24478097	10.1128/IAI.01357-13
PHI:I4097	PHI:3416;PHI:3415	T2BNJ5;J9VKZ2	Fre2;Fre4	AGV14291;AFR92350	Genbank;Genbank	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	24478097	10.1128/IAI.01357-13
PHI:I4098	PHI:3417	W5ZQ93	Ohmm	AHI43604	Genbank	176275	1436183	Beauveria bassiana CGMCC 7.34	7137	Galleria mellonella	PHIPO:0000147	hypervirulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	25403093	10.1111/1462-2920.12713
PHI:I4099	PHI:3418	Q5DPX0	ssp	Q5DPX0_STASA	Genbank	29385	29385	Staphylococcus saprophyticus	6239	Caenorhabditis elegans	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	23959029	10.4161/viru.25875
PHI:I4100	PHI:3418	Q5DPX0	ssp	Q5DPX0_STASA	Genbank	29385	29385	Staphylococcus saprophyticus	6239	Caenorhabditis elegans	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	23959029	10.4161/viru.25875
PHI:I4101	PHI:3419	Q8XT88	fcs	CAD17378	Genbank	305	267608	Ralstonia solanacearum GMI1000	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	25423265	10.1094/MPMI-09-14-0292-FI
PHI:I4102	PHI:3420	Q63K61	BPSS1504	CAH38977	Genbank	28450	28450	Burkholderia pseudomallei	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24595140	10.1128/IAI.01544-14
PHI:I4103	PHI:3431	Q9L9Z9	vuuA	AF156494_1	Genbank	672	672	Vibrio vulnificus	7936	Anguilla anguilla	PHIPO:0000007	loss of pathogenicity	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24478087	10.1128/IAI.01117-13
PHI:I4104	PHI:3432	Q8GRB8	hupA	BAC15762	Genbank	672	672	Vibrio vulnificus	7936	Anguilla anguilla	PHIPO:0000007	loss of pathogenicity	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24478087	10.1128/IAI.01117-13
PHI:I4105	PHI:3433	E8VXK7	hutR	ADV88340	Genbank	672	672	Vibrio vulnificus	7936	Anguilla anguilla	PHIPO:0000011	unaltered pathogenicity	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24478087	10.1128/IAI.01117-13
PHI:I4106	PHI:3434	Q87CK4	PD1063	 AAO28921	Genbank	2371	2371	Xylella fastidiosa	29760	Vitis vinifera	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	25426629	10.1371/journal.pone.0113504
PHI:I4107	PHI:3435	H8HBL1	ptsI	AFC66398	Genbank	1314	293653	Streptococcus pyogenes MGAS5005	10090	Mus musculus	PHIPO:0000147	hypervirulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24379283	10.1128/IAI.01271-13
PHI:I4108	PHI:3436;PHI:3435	H8HBL1;Q1J7H9	ptsI;sagB	AFC66398;ABF37595	Genbank;Genbank	1314	293653	Streptococcus pyogenes MGAS5005	10090	Mus musculus	PHIPO:0000011	unaltered pathogenicity	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24379283	10.1128/IAI.01271-13
PHI:I4109	PHI:3436	D3QJB2	lacA	ADD55082	Genbank	28901	90371	Salmonella enterica subsp. enterica serovar Typhimurium	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000011	gene overexpression	25362512	10.1007/s00284-014-0720-7
PHI:I4110	PHI:3437	J9MT86	Sho1	FOXG_06120	Broad	5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4111	PHI:3438	J9N257	Msb2	FOXG_09254		5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4112	PHI:3437;PHI:3438	J9N257;J9MT86	Msb2;Sho1	FOXG_09254;FOXG_06120	;Broad	5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4113	PHI:3437	J9MT86	Sho1	FOXG_06120	Broad	5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	3750	Malus domestica	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4114	PHI:3438	J9N257	Msb2	FOXG_09254		5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	3750	Malus domestica	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4115	PHI:3437;PHI:3438	J9N257;J9MT86	Msb2;Sho1	FOXG_09254;FOXG_06120	;Broad	5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	3750	Malus domestica	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4116	PHI:3437	J9MT86	Sho1	FOXG_06120	Broad	5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	7137	Galleria mellonella	PHIPO:0000011	unaltered pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4117	PHI:3438	J9N257	Msb2	FOXG_09254		5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	7137	Galleria mellonella	PHIPO:0000011	unaltered pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4118	PHI:3437;PHI:3438	J9N257;J9MT86	Msb2;Sho1	FOXG_09254;FOXG_06120	;Broad	5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	7137	Galleria mellonella	PHIPO:0000011	unaltered pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25382187	10.1111/mpp.12217
PHI:I4119	PHI:3439	N1KZN0	InvA	 CCV53898	Genbank	630	1262466	Yersinia enterocolitica (type O:3) str. YE12/03	9823	Sus scrofa	PHIPO:0000008	reduced virulence	ESO:0000019	uncharacterised gene mutation	24343656	10.1128/IAI.01001-13
PHI:I4120	PHI:3439	N1KZN0	InvA	 CCV53898	Genbank	630	1262466	Yersinia enterocolitica (type O:3) str. YE12/03	9823	Sus scrofa	PHIPO:0000147	hypervirulence	ESO:0000011	gene overexpression	24343656	10.1128/IAI.01001-13
PHI:I4121	PHI:3439	N1KZN0	InvA	 CCV53898	Genbank	630	1262466	Yersinia enterocolitica (type O:3) str. YE12/03	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000019	uncharacterised gene mutation	24343656	10.1128/IAI.01001-13
PHI:I4122	PHI:3440	Q9HV74	CbrA	AE004886_3	Genbank	287	652611	Pseudomonas aeruginosa PA14	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24379284	10.1128/IAI.01527-13
PHI:I4123	PHI:3440	Q9HV74	CbrA	AE004886_3	Genbank	287	652611	Pseudomonas aeruginosa PA14	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24379284	10.1128/IAI.01527-13
PHI:I4124	PHI:3440	Q9HV74	CbrA	AE004886_3	Genbank	287	652611	Pseudomonas aeruginosa PA14	44689	Dictyostelium discoideum	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24379284	10.1128/IAI.01527-13
PHI:I4125	PHI:3440	Q9HV74	CbrA	AE004886_3	Genbank	287	652611	Pseudomonas aeruginosa PA14	10114	Rattus	PHIPO:0000011	unaltered pathogenicity	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24379284	10.1128/IAI.01527-13
PHI:I4126	PHI:3441	Q833J1	tcpF	AAO81706	Genbank	1351	1351	Enterococcus faecalis	10090	Mus musculus	PHIPO:0000011	unaltered pathogenicity	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	25369374	10.1371/journal.pone.0112010
PHI:I4127	PHI:3442	P11437	pPg6L3/ AvrA	AAA25725	Genbank	317	318	Pseudomonas savastanoi pv. glycinea	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	16593517	10.1073/pnas.81.19.6024
PHI:I4128	PHI:3442	P11437	pPg6L3/ AvrA	AAA25725	Genbank	317	318	Pseudomonas savastanoi pv. glycinea	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	16593517	10.1073/pnas.81.19.6024
PHI:I4129	PHI:3442	P11437	pPg6L3/ AvrA	AAA25725	Genbank	317	318	Pseudomonas savastanoi pv. glycinea	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	16593517	10.1073/pnas.81.19.6024
PHI:I4130	PHI:3442	P11437	pPg6L3/ AvrA	AAA25725	Genbank	317	318	Pseudomonas savastanoi pv. glycinea	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	16593517	10.1073/pnas.81.19.6024
PHI:I4131	PHI:3443	M7UB04	BcNoxD	EMR83808	Genbank	40559	332648	Botrytis cinerea B05.10	3885	Phaseolus vulgaris	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25402961	10.1111/mmi.12869
PHI:I4132	PHI:3444	B0BES1	BcNoxA	CAP12516	Genbank	40559	332648	Botrytis cinerea B05.10	3885	Phaseolus vulgaris	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	25402961	10.1111/mmi.12869
PHI:I4133	PHI:3445;PHI:3446	Q81Z69;Q81Z68	yceG;yceH	AAP24433;AAP24434	Genbank;Genbank	1392	260799	Bacillus anthracis str. Sterne	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24366250	10.1128/IAI.01614-13
PHI:I4134	PHI:3447	C5VY20	orf2	CAR44372	Genbank	1307	1184252	Streptococcus suis S735	9823	Sus scrofa	PHIPO:0000147	hypervirulence	ESO:0000011	gene overexpression	25384512	10.1186/s12866-014-0264-9
PHI:I4135	PHI:3448	B5Y383	pgaC	ACI10823	Genbank	573	1244085	Klebsiella pneumoniae CG43	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	25450884	10.1016/j.micpath.2014.11.005
PHI:I4136	PHI:3449	D2TV46	crc1	YP_003368469	Genbank	67825	67825	Citrobacter rodentium	10090	Mus musculus	PHIPO:0000147	hypervirulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24711562	10.1128/IAI.01518-13
PHI:I4137	PHI:3450	B4EHQ6	BCAM0224	CAR54082	Genbank	95486	216591	Burkholderia cenocepacia J2315	9606	Homo sapiens	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	24659767	10.1128/JB.00061-14
PHI:I4138	PHI:3451	B4EJI4	BceR	CAR55348	Genbank	95486	985075	Burkholderia cenocepacia K56-2Sokol	3879	Medicago sativa	PHIPO:0000011	unaltered pathogenicity	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	25519693	10.1007/s00284-014-0744-z
PHI:I4139	PHI:3453	Q5KM27	ktr3	AAW41592	Genbank	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	25477510	10.1074/jbc.M114.607705
PHI:I4140	PHI:3454	L8NIN1	sylC	ELS43793	Genbank	317	321	Pseudomonas syringae pv. syringae	4565	Triticum aestivum	PHIPO:0000008	reduced virulence	ESO:0000007;ESO:0000016	gene complementation;characterised gene mutation	25472590	10.1186/s12866-014-0304-5
PHI:I4141	PHI:3455	J9VIH5	Apt1	AFR93216	Genbank	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000019	uncharacterised gene mutation	24337112	10.1128/EC.00273-13
PHI:I4142	PHI:3456	Q2A589	FTT0831c/FTL_0325	CAJ78765	Genbank	263	177416	Francisella tularensis subsp. tularensis SCHU S4	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	24778115	10.1128/IAI.00102-14
PHI:I4143	PHI:3457	J9VMW8	PHO84	AFR93914	Genbank	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	24711572	10.1128/IAI.01607-14
PHI:I4144	PHI:3457	J9W1N5	PHO840	 AFR98889	Genbank	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	24711572	10.1128/IAI.01607-14
PHI:I4145	PHI:3457	J9VNZ8	PHO89	AFR94339	Genbank	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	24711572	10.1128/IAI.01607-14
PHI:I4146	PHI:3457	J9VQL2	VTC4	AFR94879	Genbank	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000147	hypervirulence	ESO:0000002	gene deletion	24711572	10.1128/IAI.01607-14
PHI:I4147	PHI:3492	P13835	avrB	AAA25726.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4148	PHI:3492	P13835	avrB	AAA25726.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4149	PHI:3492	P13835	avrB	AAA25726.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4150	PHI:3492	P13835	avrB	AAA25726.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4151	PHI:3492	P13835	avrB	AAA25726.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4152	PHI:3492	P13835	avrB	AAA25726.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4153	PHI:3493	Q48B66	avrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4154	PHI:3493	Q48B66	avrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4155	PHI:3494	Q48B68	avrD1	AAZ37987.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4156	PHI:3494	Q48B68	avrD1	AAZ37987.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4157	PHI:3494	Q48B68	avrD1	AAZ37987.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIPO:0000011	unaltered pathogenicity	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4158	PHI:3493	Q48B66	avrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIPO:0000011	unaltered pathogenicity	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4159	PHI:3492	P13835	avrB	AAA25726.1	EMBL	317	321	Pseudomonas syringae pv. syringae	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4160	PHI:3495	Q4ZYH0	AvrRPM1	AAY35802.1	EMBL	317	59511	Pseudomonas syringae pv. maculicola	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4161	PHI:3496	E2MM96	AvrA1	EEB56913.1	EMBL	317	317	Pseudomonas syringae	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4162	PHI:3493	Q48B66	AvrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4163	PHI:3493	Q48B66	AvrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4164	PHI:3494	Q48B68	AvrD1	AAZ37987.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4165	PHI:3494	Q48B68	AvrD1	AAZ37987.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4166	PHI:3493	Q48B66	AvrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4167	PHI:3494	Q48B68	AvrD1	AAZ37987.1	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4168	PHI:3493	Q48B66	AvrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4169	PHI:3493	Q48B66	AvrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4170	PHI:3493	Q48B66	AvrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4171	PHI:3493	Q48B66	AvrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
PHI:I4172	PHI:3493	Q48B66	AvrB2	AAZ37967	EMBL	317	875330	Pseudomonas savastanoi pv. glycinea str. race 4	3847	Glycine max	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	24372490	10.1111/nph.12654
